"H_vulgarisAEP","Orthogroup","Ortholog","EnsemblID","EnsemblLongName","genBankAnnotation","PANTHER_ID","PANTHER_NAME","PFAM_ID","PFAM_NAME","UniprotHit"
"HVAEP1_T008737.1","OG0003982","PDIA6","ENSG00000143870","protein disulfide isomerase family A member 6",NA,"PTHR45815","PROTEIN DISULFIDE-ISOMERASE A6","PF00085","Thioredoxin","PDIA6_PONAB;Protein_disulfide-isomerase_A6"
"HVAEP1_T008738.1","OG0003747","NDUFV1","ENSG00000167792","NADH:ubiquinone oxidoreductase core subunit V1",NA,"PTHR11780","NADH-UBIQUINONE OXIDOREDUCTASE FLAVOPROTEIN 1  NDUFV1","PF01512; PF10589","Respiratory-chain NADH dehydrogenase 51 Kd subunit; NADH-ubiquinone oxidoreductase-F iron-sulfur binding region","NDUV1_BOVIN;NADH_dehydrogenase_[ubiquinone]_flavoprotein_1,_mitochondrial"
"HVAEP1_T008739.1","OG0004545","NAPRT, NAPRT","ENSG00000278488, ENSG00000147813","nicotinate phosphoribosyltransferase",NA,"PTHR11098","NICOTINATE PHOSPHORIBOSYLTRANSFERASE","PF17767; PF17956; PF04095","Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain; Nicotinate phosphoribosyltransferase C-terminal domain; Nicotinate phosphoribosyltransferase (NAPRTase) family","PNCB_DROME;Nicotinate_phosphoribosyltransferase"
"HVAEP1_T008740.1","OG0001597","PREP","ENSG00000085377","prolyl endopeptidase",NA,"PTHR42881","PROLYL ENDOPEPTIDASE","PF00326; PF02897","Prolyl oligopeptidase family; Prolyl oligopeptidase, N-terminal beta-propeller domain","PPCE_HUMAN;Prolyl_endopeptidase"
"HVAEP1_T008742.1","OG0006380","TEX264","ENSG00000164081","testis expressed 264, ER-phagy receptor",NA,"PTHR15949","TESTIS-EXPRESSED PROTEIN 264",NA,NA,"TX264_MOUSE;Testis-expressed_protein_264_homolog"
"HVAEP1_T008743.1","OG0002869","TPD52L3, TPD52L2, TPD52, TPD52L1","ENSG00000170777, ENSG00000101150, ENSG00000076554, ENSG00000111907","TPD52 like 2, tumor protein D52, TPD52 like 3, TPD52 like 1",NA,NA,NA,"PF04201","Tumour protein D52 family",NA
"HVAEP1_T008744.2","OG0001852","HGSNAT","ENSG00000165102","heparan-alpha-glucosaminide N-acetyltransferase",NA,"PTHR31061:SF19","HEPARAN-ALPHA-GLUCOSAMINIDE N-ACETYLTRANSFERASE","PF07786","Protein of unknown function (DUF1624)","HGNAT_HUMAN;Heparan-alpha-glucosaminide_N-acetyltransferase"
"HVAEP1_T008745.1","OG0000252","DAZL, DAZ3, DAZ2, DAZ1, DAZ4","ENSG00000092345, ENSG00000187191, ENSG00000205944, ENSG00000188120, ENSG00000205916","deleted in azoospermia 2, deleted in azoospermia 4, deleted in azoospermia 1, deleted in azoospermia 3, deleted in azoospermia like",NA,"PTHR11176:SF14","PROTEIN BOULE","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","BOLL_HUMAN;Protein_boule-like"
"HVAEP1_T008748.1",NA,NA,NA,NA,"Z68181.1; elongation factor EF1-alpha","PTHR23115:SF236","ELONGATION FACTOR 1-ALPHA 1","PF03144; PF03143; PF00009","Elongation factor Tu domain 2; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain","EF1A_HYDVU;Elongation_factor_1-alpha"
"HVAEP1_T008749.1",NA,NA,NA,NA,NA,"PTHR23115:SF236","ELONGATION FACTOR 1-ALPHA 1","PF03144; PF03143; PF00009","Elongation factor Tu domain 2; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain","EF1A_HYDVU;Elongation_factor_1-alpha"
"HVAEP1_T008750.1","OG0007280","RBFA","ENSG00000101546","ribosome binding factor A",NA,NA,NA,"PF02033","Ribosome-binding factor A",NA
"HVAEP1_T008751.1","OG0004497","TRDMT1","ENSG00000107614","tRNA aspartic acid methyltransferase 1",NA,"PTHR46098","TRNA (CYTOSINE(38)-C(5))-METHYLTRANSFERASE","PF00145","C-5 cytosine-specific DNA methylase","TRDMT_RAT;tRNA_(cytosine(38)-C(5))-methyltransferase"
"HVAEP1_T008752.1","OG0000384","ACBD6","ENSG00000230124","acyl-CoA binding domain containing 6, LHX4 antisense RNA 1",NA,"PTHR24119:SF0","ACYL-COA-BINDING DOMAIN-CONTAINING PROTEIN 6","PF12796; PF00887","Ankyrin repeats (3 copies); Acyl CoA binding protein","ACBD6_DANRE;Acyl-CoA-binding_domain-containing_protein_6"
"HVAEP1_T008753.1","OG0002007","PFKM, PFKL, PFKP","ENSG00000152556, ENSG00000141959, ENSG00000067057","phosphofructokinase, liver type, phosphofructokinase, platelet, phosphofructokinase, muscle",NA,"PTHR13697","PHOSPHOFRUCTOKINASE","PF00365","Phosphofructokinase","PFKAM_HUMAN;ATP-dependent_6-phosphofructokinase,_muscle_type"
"HVAEP1_T008754.1","OG0002639","GBF1","ENSG00000107862","golgi brefeldin A resistant guanine nucleotide exchange factor 1",NA,"PTHR10663:SF316","GOLGI-SPECIFIC BREFELDIN A-RESISTANCE GUANINE NUCLEOTIDE EXCHANGE FACTOR 1","PF01369; PF12783","Sec7 domain; Guanine nucleotide exchange factor in Golgi transport N-terminal","GBF1_CRIGR;Golgi-specific_brefeldin_A-resistance_guanine_nucleotide_exchange_factor_1"
"HVAEP1_T008755.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCB2_CAEBR;Transposable_element_Tcb2_transposase"
"HVAEP1_T008756.1",NA,NA,NA,NA,NA,NA,NA,"PF05225","helix-turn-helix, Psq domain",NA
"HVAEP1_T008757.3","OG0003293","CG10841","FBgn0038163","NA",NA,"PTHR20875:SF0","GH12158P",NA,NA,NA
"HVAEP1_T008758.1","OG0000963","B3GAT3","ENSG00000149541","beta-1,3-glucuronyltransferase 3",NA,"PTHR10896:SF9","GALACTOSYLGALACTOSYLXYLOSYLPROTEIN 3-BETA-GLUCURONOSYLTRANSFERASE 3","PF03360","Glycosyltransferase family 43","B3GA3_HUMAN;Galactosylgalactosylxylosylprotein_3-beta-glucuronosyltransferase_3"
"HVAEP1_T008759.1","OG0000963","B3GAT3","ENSG00000149541","beta-1,3-glucuronyltransferase 3",NA,NA,NA,NA,NA,NA
"HVAEP1_T008761.1","OG0000137","H2AZ2, H2AZ1","ENSG00000105968, ENSG00000164032","H2A.Z variant histone 2, H2A.Z variant histone 1","KY053288.1; strain Ind-Pune histone H2A.Z","PTHR23430:SF300","HISTONE H2A","PF00125; PF16211","Core histone H2A/H2B/H3/H4; C-terminus of histone H2A","H2AZ_BOVIN;Histone_H2A.Z"
"HVAEP1_T008762.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","ADA1A_ORYLA;Alpha-1A_adrenergic_receptor"
"HVAEP1_T008763.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","OPN4B_XENLA;Melanopsin-B"
"HVAEP1_T008764.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)",NA
"HVAEP1_T008769.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","OPSD1_MIZYE;Rhodopsin,_GQ-coupled"
"HVAEP1_T008770.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","ADA1A_RABIT;Alpha-1A_adrenergic_receptor"
"HVAEP1_T008771.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","OPN4A_GADMO;Melanopsin-A"
"HVAEP1_T008772.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","ADA1A_ORYLA;Alpha-1A_adrenergic_receptor"
"HVAEP1_T008774.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","ADA1A_ORYLA;Alpha-1A_adrenergic_receptor"
"HVAEP1_T008775.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","OPSD1_MIZYE;Rhodopsin,_GQ-coupled"
"HVAEP1_T008776.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","OPN4B_XENLA;Melanopsin-B"
"HVAEP1_T008777.1","OG0005802","GHITM","ENSG00000165678","growth hormone inducible transmembrane protein",NA,"PTHR23291:SF32","GROWTH HORMONE-INDUCIBLE TRANSMEMBRANE PROTEIN","PF01027","Inhibitor of apoptosis-promoting Bax1","GHITM_MOUSE;Growth_hormone-inducible_transmembrane_protein"
"HVAEP1_T008778.1","OG0002047","ADH5, ADH4, ADH7, ADH1C, ADH1B, ADH1A, ADH6","ENSG00000197894, ENSG00000198099, ENSG00000196344, ENSG00000248144, ENSG00000196616, ENSG00000187758, ENSG00000172955","alcohol dehydrogenase 1B (class I), beta polypeptide, alcohol dehydrogenase 6 (class V), alcohol dehydrogenase 1C (class I), gamma polypeptide, alcohol dehydrogenase 1A (class I), alpha polypeptide, alcohol dehydrogenase 4 (class II), pi polypeptide, alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide, alcohol dehydrogenase 5 (class III), chi polypeptide",NA,"PTHR43880:SF21","S-(HYDROXYMETHYL)GLUTATHIONE DEHYDROGENASE","PF08240; PF00107","Alcohol dehydrogenase GroES-like domain; Zinc-binding dehydrogenase","ADHX_SPAAU;Alcohol_dehydrogenase_class-3"
"HVAEP1_T008779.1","OG0001207","RAB38, RAB32","ENSG00000123892, ENSG00000118508","RAB32, member RAS oncogene family, RAB38, member RAS oncogene family",NA,"PTHR24073:SF862","RAS-RELATED PROTEIN RAB-32","PF00071","Ras family","RAB32_PIG;Ras-related_protein_Rab-32"
"HVAEP1_T008780.1",NA,NA,NA,NA,NA,"PTHR45836:SF13","NOTCH 3","PF00008","EGF-like domain","EDIL3_MOUSE;EGF-like_repeat_and_discoidin_I-like_domain-containing_protein_3"
"HVAEP1_T008781.1",NA,NA,NA,NA,NA,NA,NA,"PF00090; PF01421; PF01562; PF17771","Thrombospondin type 1 domain; Reprolysin (M12B) family zinc metalloprotease; Reprolysin family propeptide; ADAM cysteine-rich domain","ATS6_HUMAN;A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_6"
"HVAEP1_T008783.1",NA,NA,NA,NA,NA,"PTHR10773:SF12","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC2",NA,NA,NA
"HVAEP1_T008788.1","OG0000937","MYPOP","ENSG00000176182","Myb related transcription factor, partner of profilin",NA,NA,NA,"PF05225","helix-turn-helix, Psq domain",NA
"HVAEP1_T008790.1","OG0001134","VRTN","ENSG00000133980","vertebrae development associated",NA,NA,NA,NA,NA,NA
"HVAEP1_T008794.1","OG0001291","TMEM41B","ENSG00000166471","transmembrane protein 41B",NA,"PTHR43220:SF7","TRANSMEMBRANE PROTEIN 41B","PF09335","SNARE associated Golgi protein","TM41B_XENLA;Transmembrane_protein_41B"
"HVAEP1_T008795.1","OG0005794","Ofcc1","ENSMUSG00000047094","orofacial cleft 1 candidate 1",NA,"PTHR33862","OROFACIAL CLEFT 1 CANDIDATE GENE 1 PROTEIN",NA,NA,NA
"HVAEP1_T008798.1",NA,NA,NA,NA,NA,"PTHR47526","ATP-DEPENDENT DNA HELICASE",NA,NA,NA
"HVAEP1_T008801.2",NA,NA,NA,NA,NA,NA,NA,"PF09588","YqaJ-like viral recombinase domain",NA
"HVAEP1_T008803.1",NA,NA,NA,NA,NA,"PTHR46169:SF14","SIN3-HDAC COMPLEX-ASSOCIATED FACTOR,-LIKE-RELATED","PF02892","BED zinc finger","TRA1_MAIZE;Putative_AC_transposase"
"HVAEP1_T008804.1",NA,NA,NA,NA,NA,"PTHR45749:SF10","GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN",NA,NA,NA
"HVAEP1_T008811.2",NA,NA,NA,NA,NA,"PTHR33053:SF18","AGAP000105-PA",NA,NA,NA
"HVAEP1_T008816.1",NA,NA,NA,NA,NA,"PTHR33053:SF18","AGAP000105-PA",NA,NA,NA
"HVAEP1_T008817.1","OG0003680","SYCP2L, SYCP2","ENSG00000153157, ENSG00000196074","synaptonemal complex protein 2, synaptonemal complex protein 2 like",NA,NA,NA,NA,NA,"SYCP2_MOUSE;Synaptonemal_complex_protein_2"
"HVAEP1_T008822.1",NA,NA,NA,NA,NA,"PTHR33053:SF18","AGAP000105-PA",NA,NA,NA
"HVAEP1_T008825.1","OG0001096","TUBGCP5, TUBGCP5, TUBGCP5","ENSG00000280807, ENSG00000275835, ENSG00000276856","tubulin gamma complex associated protein 5",NA,"PTHR19302:SF33","GAMMA-TUBULIN COMPLEX COMPONENT 5","PF04130; PF17681","Gamma tubulin complex component C-terminal; Gamma tubulin complex component N-terminal","GCP5_HUMAN;Gamma-tubulin_complex_component_5"
"HVAEP1_T008833.1","OG0004226","PRCC","ENSG00000143294","proline rich mitotic checkpoint control factor",NA,"PTHR13621","PROLINE-RICH PROTEIN PRCC","PF10253","Mitotic checkpoint regulator, MAD2B-interacting","PRCC_HUMAN;Proline-rich_protein_PRCC"
"HVAEP1_T008838.1",NA,NA,NA,NA,NA,"PTHR19229:SF139","ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 14",NA,NA,"ABCA3_MOUSE;Phospholipid-transporting_ATPase_ABCA3"
"HVAEP1_T008839.2","OG0000153","ABCA3","ENSG00000167972","ATP binding cassette subfamily A member 3",NA,"PTHR19229:SF139","ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 14","PF00005; PF12698","ABC transporter; ABC-2 family transporter protein","ABCA3_HUMAN;Phospholipid-transporting_ATPase_ABCA3"
"HVAEP1_T008842.1","OG0000153","ABCA3","ENSG00000167972","ATP binding cassette subfamily A member 3",NA,"PTHR19229:SF139","ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 14",NA,NA,"ABCA3_HUMAN;Phospholipid-transporting_ATPase_ABCA3"
"HVAEP1_T008843.1","OG0000153","ABCA3","ENSG00000167972","ATP binding cassette subfamily A member 3",NA,"PTHR19229:SF139","ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 14","PF00005; PF12698","ABC transporter; ABC-2 family transporter protein","ABCA3_RAT;Phospholipid-transporting_ATPase_ABCA3"
"HVAEP1_T008844.1","OG0000153","ABCA3","ENSG00000167972","ATP binding cassette subfamily A member 3",NA,"PTHR19229:SF139","ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 14",NA,NA,"ABCA3_HUMAN;Phospholipid-transporting_ATPase_ABCA3"
"HVAEP1_T008845.1","OG0007472","SRP9","ENSG00000143742","signal recognition particle 9",NA,"PTHR12834:SF12","SIGNAL RECOGNITION PARTICLE 9 KDA PROTEIN","PF05486","Signal recognition particle 9 kDa protein (SRP9)","SRP09_MAIZE;Signal_recognition_particle_9_kDa_protein"
"HVAEP1_T008846.1","OG0000151","alphaTub85E","FBgn0003886","NA",NA,"PTHR11588:SF290","TUBULIN ALPHA CHAIN","PF03953; PF00091","Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain","TBA1_PARLI;Tubulin_alpha-1_chain"
"HVAEP1_T008852.4",NA,NA,NA,NA,NA,NA,NA,"PF01400","Astacin (Peptidase family M12A)","NAS4_CAEEL;Zinc_metalloproteinase_nas-4"
"HVAEP1_T008854.1","OG0000007","ZMYM1","ENSG00000197056","zinc finger MYM-type containing 1",NA,NA,NA,"PF14291","Domain of unknown function (DUF4371)","ZMYM1_HUMAN;Zinc_finger_MYM-type_protein_1"
"HVAEP1_T008855.1","OG0000007","ZMYM1","ENSG00000197056","zinc finger MYM-type containing 1",NA,"PTHR45749:SF10","GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN",NA,NA,NA
"HVAEP1_T008856.1",NA,NA,NA,NA,NA,NA,NA,"PF01400","Astacin (Peptidase family M12A)","NAS1_CAEEL;Zinc_metalloproteinase_nas-1"
"HVAEP1_T008857.1",NA,NA,NA,NA,NA,NA,NA,"PF01400","Astacin (Peptidase family M12A)","NAS4_CAEEL;Zinc_metalloproteinase_nas-4"
"HVAEP1_T008858.1",NA,NA,NA,NA,NA,NA,NA,"PF13385","Concanavalin A-like lectin/glucanases superfamily",NA
"HVAEP1_T008860.1",NA,NA,NA,NA,NA,NA,NA,"PF01400","Astacin (Peptidase family M12A)","NAS4_CAEEL;Zinc_metalloproteinase_nas-4"
"HVAEP1_T008861.1",NA,NA,NA,NA,NA,"PTHR24559:SF375","RETROVIRUS-RELATED POL POLYPROTEIN FROM TRANSPOSON GYPSY-LIKE PROTEIN",NA,NA,"POL_FFV;Pro-Pol_polyprotein"
"HVAEP1_T008862.1",NA,NA,NA,NA,NA,"PTHR47326","TRANSPOSABLE ELEMENT TC3 TRANSPOSASE-LIKE PROTEIN",NA,NA,NA
"HVAEP1_T008863.1",NA,NA,NA,NA,NA,NA,NA,"PF01400","Astacin (Peptidase family M12A)","NAS4_CAEEL;Zinc_metalloproteinase_nas-4"
"HVAEP1_T008868.1",NA,NA,NA,NA,NA,NA,NA,"PF05485","THAP domain",NA
"HVAEP1_T008870.1","OG0001729","TAF6","ENSG00000106290","TATA-box binding protein associated factor 6",NA,NA,NA,"PF07571; PF02969","TAF6 C-terminal HEAT repeat domain; TATA box binding protein associated factor (TAF)","TAF6_HUMAN;Transcription_initiation_factor_TFIID_subunit_6"
"HVAEP1_T008874.1","OG0003680","SYCP2L, SYCP2","ENSG00000153157, ENSG00000196074","synaptonemal complex protein 2, synaptonemal complex protein 2 like",NA,"PTHR15607:SF14","SYNAPTONEMAL COMPLEX PROTEIN 2-LIKE","PF18584","Synaptonemal complex 2 Spt16M-like domain","SYCP2_MOUSE;Synaptonemal_complex_protein_2"
"HVAEP1_T008876.1",NA,NA,NA,NA,NA,NA,NA,"PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","RTJK_DROME;RNA-directed_DNA_polymerase_from_mobile_element_jockey"
"HVAEP1_T008878.1","OG0000151","alphaTub85E","FBgn0003886","NA",NA,"PTHR11588:SF75","TUBULIN ALPHA CHAIN","PF03953; PF00091","Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain","TBA1A_CRIGR;Tubulin_alpha-1A_chain"
"HVAEP1_T008880.1",NA,NA,NA,NA,NA,"PTHR37162:SF1","HAT FAMILY DIMERISATION DOMAINCONTAINING PROTEIN",NA,NA,NA
"HVAEP1_T008881.1",NA,NA,NA,NA,NA,NA,NA,"PF05699","hAT family C-terminal dimerisation region",NA
"HVAEP1_T008884.1","OG0000151","alphaTub85E","FBgn0003886","NA",NA,"PTHR11588:SF75","TUBULIN ALPHA CHAIN","PF03953; PF00091","Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain","TBA1A_CRIGR;Tubulin_alpha-1A_chain"
"HVAEP1_T008888.1","OG0001809","RPL30","ENSG00000156482","ribosomal protein L30",NA,"PTHR11449:SF12","60S RIBOSOMAL PROTEIN L30","PF01248","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family","RL30_SPOFR;60S_ribosomal_protein_L30"
"HVAEP1_T008889.3","OG0001165","SLC35F3, SLC35F4","ENSG00000183780, ENSG00000151812","solute carrier family 35 member F4, solute carrier family 35 member F3",NA,"PTHR19346","UNCHARACTERIZED",NA,NA,"S35F4_MOUSE;Solute_carrier_family_35_member_F4"
"HVAEP1_T008890.1","OG0006433","TMEM18","ENSG00000151353","transmembrane protein 18",NA,"PTHR22593:SF2","TRANSMEMBRANE PROTEIN 18","PF14770","Transmembrane protein 18","TMM18_DANRE;Transmembrane_protein_18"
"HVAEP1_T008892.1",NA,NA,NA,NA,NA,"PTHR10773:SF12","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC2",NA,NA,NA
"HVAEP1_T008893.2","OG0000007","ZMYM1","ENSG00000197056","zinc finger MYM-type containing 1",NA,NA,NA,"PF14291","Domain of unknown function (DUF4371)","ZMYM1_HUMAN;Zinc_finger_MYM-type_protein_1"
"HVAEP1_T008894.1","OG0000007","ZMYM1","ENSG00000197056","zinc finger MYM-type containing 1",NA,NA,NA,NA,NA,NA
"HVAEP1_T008896.1","OG0002694","SDC3, SDC1, SDC4, SDC2","ENSG00000162512, ENSG00000115884, ENSG00000124145, ENSG00000169439","syndecan 4, syndecan 1, syndecan 2, syndecan 3",NA,"PTHR10915","SYNDECAN","PF01034","Syndecan domain",NA
"HVAEP1_T008897.1","OG0001400","STT3A","ENSG00000134910","STT3 oligosaccharyltransferase complex catalytic subunit A",NA,"PTHR13872:SF43","DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT STT3A","PF02516","Oligosaccharyl transferase STT3 subunit","STT3A_HUMAN;Dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_STT3A"
"HVAEP1_T008898.1","OG0005970","CCDC73","ENSG00000186714","coiled-coil domain containing 73",NA,NA,NA,NA,NA,NA
"HVAEP1_T008899.1","OG0005970","CCDC73","ENSG00000186714","coiled-coil domain containing 73",NA,NA,NA,NA,NA,NA
"HVAEP1_T008901.1",NA,NA,NA,NA,NA,"PTHR22742","UNCHARACTERIZED","PF03166","MH2 domain",NA
"HVAEP1_T008902.1",NA,NA,NA,NA,NA,"PTHR46256","AGAP011099-PA","PF00063","Myosin head (motor domain)","MYO3A_HUMAN;Myosin-IIIa"
"HVAEP1_T008903.1","OG0002567","Nadsyn","FBgn0030512","NA",NA,"PTHR23090:SF9","GLUTAMINE-DEPENDENT NAD(+) SYNTHETASE","PF00795; PF02540","Carbon-nitrogen hydrolase; NAD synthase","NADE_CHICK;Glutamine-dependent_NAD(+)_synthetase"
"HVAEP1_T008905.1",NA,NA,NA,NA,NA,"PTHR47027:SF8","RNA-DIRECTED DNA POLYMERASE FROM TRANSPOSON BS-LIKE PROTEIN-RELATED","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)",NA
"HVAEP1_T008907.1","OG0000042","CYP21A2, CYP21A2, CYP21A2, CYP21A2, CYP21A2, CYP21A2","ENSG00000198457, ENSG00000235134, ENSG00000206338, ENSG00000232414, ENSG00000233151, ENSG00000231852","cytochrome P450 family 21 subfamily A member 2",NA,NA,NA,"PF00067","Cytochrome P450","CP17A_RANDY;Steroid_17-alpha-hydroxylase/17,20_lyase"
"HVAEP1_T008908.1","OG0006437","CNST","ENSG00000162852","consortin, connexin sorting protein",NA,NA,NA,NA,NA,NA
"HVAEP1_T008909.1","OG0003253","USP54, USP53","ENSG00000166348, ENSG00000145390","ubiquitin specific peptidase 53, ubiquitin specific peptidase 54",NA,"PTHR22975:SF6","INACTIVE UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 53","PF00443","Ubiquitin carboxyl-terminal hydrolase","UBP54_RAT;Inactive_ubiquitin_carboxyl-terminal_hydrolase_54"
"HVAEP1_T008910.1",NA,NA,NA,NA,NA,"PTHR46116:SF31","BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 6","PF00179","Ubiquitin-conjugating enzyme","BIRC6_HUMAN;Baculoviral_IAP_repeat-containing_protein_6"
"HVAEP1_T008913.1","OG0004226","PRCC","ENSG00000143294","proline rich mitotic checkpoint control factor",NA,"PTHR13621","PROLINE-RICH PROTEIN PRCC","PF10253","Mitotic checkpoint regulator, MAD2B-interacting","PRCC_HUMAN;Proline-rich_protein_PRCC"
"HVAEP1_T008914.1","OG0000130","TCTE1","ENSG00000146221","t-complex-associated-testis-expressed 1",NA,NA,NA,NA,NA,NA
"HVAEP1_T008919.1",NA,NA,NA,NA,NA,"PTHR45645:SF8","DORSAL-VENTRAL PATTERNING PROTEIN TOLLOID-RELATED","PF00431","CUB domain","CUBN_CANLF;Cubilin"
"HVAEP1_T008921.1",NA,NA,NA,NA,NA,"PTHR31912:SF16","IP13529P",NA,NA,NA
"HVAEP1_T008926.1","OG0006786","SINHCAF, SINHCAF","ENSG00000276371, ENSG00000139146","SIN3-HDAC complex associated factor",NA,NA,NA,"PF15396","Protein Family FAM60A","SHCAF_MOUSE;SIN3-HDAC_complex-associated_factor"
"HVAEP1_T008928.1","OG0006786","SINHCAF, SINHCAF","ENSG00000276371, ENSG00000139146","SIN3-HDAC complex associated factor",NA,"PTHR13422:SF12","SIN3-HDAC COMPLEX-ASSOCIATED FACTOR","PF15396","Protein Family FAM60A","SHCAF_CHICK;SIN3-HDAC_complex-associated_factor"
"HVAEP1_T008929.1","OG0003808","NUP42","ENSG00000136243","nucleoporin 42",NA,"PTHR46527","NUCLEOPORIN-LIKE PROTEIN 2",NA,NA,"NUP42_DANRE;Nucleoporin_NUP42"
"HVAEP1_T008930.1","OG0005252","PGAP1","ENSG00000197121","post-GPI attachment to proteins inositol deacylase 1",NA,"PTHR15495","NEGATIVE REGULATOR OF VESICLE FORMATION-RELATED","PF07819","PGAP1-like protein","PGAP1_MOUSE;GPI_inositol-deacylase"
"HVAEP1_T008932.1","OG0000381","TEP1","ENSG00000129566","telomerase associated protein 1",NA,"PTHR44791","TELOMERASE PROTEIN COMPONENT 1 TEP1","PF13271; PF17908; PF00400; PF05731","Domain of unknown function (DUF4062); APAF-1 helical domain; WD domain, G-beta repeat; TROVE domain","TEP1_RAT;Telomerase_protein_component_1"
"HVAEP1_T008933.1",NA,NA,NA,NA,"MK376928.1; innexin 12 (INX12)","PTHR11893","INNEXIN","PF00876","Innexin",NA
"HVAEP1_T008938.1","OG0000839","RAB22A, RAB31","ENSG00000124209, ENSG00000168461","RAB31, member RAS oncogene family, RAB22A, member RAS oncogene family",NA,"PTHR47977:SF13","RAS-RELATED PROTEIN RAB-5C","PF00071","Ras family","RB22A_MOUSE;Ras-related_protein_Rab-22A"
"HVAEP1_T008953.1",NA,NA,NA,NA,NA,NA,NA,"PF09588","YqaJ-like viral recombinase domain",NA
"HVAEP1_T008962.1","OG0000215","CG10431","FBgn0032730","NA",NA,NA,NA,"PF12017","Transposase protein","THAP9_HUMAN;DNA_transposase_THAP9"
"HVAEP1_T008963.1",NA,NA,NA,NA,NA,"PTHR46600:SF5","THAP DOMAIN-CONTAINING PROTEIN 1","PF05485","THAP domain","THAP1_BOVIN;THAP_domain-containing_protein_1"
"HVAEP1_T008964.1",NA,NA,NA,NA,NA,NA,NA,"PF14447","Prokaryotic RING finger family 4",NA
"HVAEP1_T008965.1","OG0011140","med7","ENSXETG00000038990","uncharacterized LOC101731765",NA,NA,NA,"PF16064","Domain of unknown function (DUF4806)",NA
"HVAEP1_T008970.1","OG0002094","SETD4","ENSG00000185917","SET domain containing 4",NA,NA,NA,"PF00856","SET domain","SETD4_ARTPA;SET_domain-containing_protein_4"
"HVAEP1_T008971.1","OG0000896","IVD","ENSG00000128928","isovaleryl-CoA dehydrogenase",NA,NA,NA,NA,NA,"IVD_RAT;Isovaleryl-CoA_dehydrogenase,_mitochondrial"
"HVAEP1_T008972.1","OG0000896","IVD","ENSG00000128928","isovaleryl-CoA dehydrogenase",NA,"PTHR43884:SF18","ISOVALERYL-COENZYME A DEHYDROGENASE","PF02770; PF00441; PF02771","Acyl-CoA dehydrogenase, middle domain; Acyl-CoA dehydrogenase, C-terminal domain; Acyl-CoA dehydrogenase, N-terminal domain","IVD_PONAB;Isovaleryl-CoA_dehydrogenase,_mitochondrial"
